序号	日期	状态	标题	标签	阅读人数	点赞人数	分享人数	推荐人数	留言条数	划线人数	投票人数	赞赏金额	被转载次数	文章链接
1	07月11日	已发表	AI 从执行者变工具匠，产品 / 开发接下来该怎么干活？	原创	25	1	0	1	0	0		¥0.00	0	https://mp.weixin.qq.com/s/_BoDMNbIAAnqNF8UyRI8tw
2	07月10日	已发表	Prompt已过时！2026 AI核心范式，所有人必须重构认知	原创	57	4	6	2	4	0		¥0.00	0	https://mp.weixin.qq.com/s/HErA3yd-xvWHY0XhyHFKHA
3	07月08日	已发表	如何彻底解决AI写代码失控翻车问题？	原创	170	3	13	2	2	0		¥0.00	0	https://mp.weixin.qq.com/s/fSdJTXbT2AXjscvt-l-5jQ
4	07月03日	已发表	别再瞎用 AI 写代码！Vibe Coding 正式落幕，2026 程序员真正的出路终于清晰	原创	1,889	11	103	8	0	2		¥0.00	0	https://mp.weixin.qq.com/s/5XWeLDLcUuE7Mb5T_2J0jg
5	05月21日	已发表	48小时知乎黑客松落榜，一次失败的 AI 写作助手开发复盘	原创	42	3	3	2	0	2		¥0.00	0	https://mp.weixin.qq.com/s/hHXfwMxHgIwwI4po5NNDUw
6	05月19日	已发表	别慌，不是隐私泄露：DeepSeek特殊字符异常现象背后的技术原理解析	原创	60	4	7	3	0	0		¥0.00	0	https://mp.weixin.qq.com/s/VXE3U-OlWZPqDcVYGJHPrQ
7	05月14日	已发表	【Agent开发必读】Agent Quality 如何落地？	原创	46	4	10	4	0	1		¥0.00	0	https://mp.weixin.qq.com/s/za8AYzkNdAWY0JW0dBKDPQ
8	05月11日	已发表	【Agent开发必读】Agent Quality 到底评估什么？	原创	77	7	15	3	1	0		¥0.00	0	https://mp.weixin.qq.com/s/qz3a2iX7TM-4z_nZssmo-A
9	05月09日	已发表	【Agent开发必读】为什么 Agent 需要新的质量体系？	原创	177	8	28	4	0	0		¥0.00	0	https://mp.weixin.qq.com/s/hND6AVkK5t0vKcfLYaJXyg
10	05月04日	已发表	Attention机制详解：为什么仅有Embedding机制不够，Transformer为自然语言处理带来了什么？	原创、已修改	50	7	11	4	0	0		¥0.00	0	https://mp.weixin.qq.com/s/DXPIC2wySuff3c9YJ2ybkQ
